sol,0.5,0.5278514589,0.5504587156,0.4148148148,0.3853211009,0.4633663366,0.5,0.5596707819,0.3706293706,0.5234375,0.5,0.4121779859,0.4928229665,0.4904270987,0.4700854701,0.44,0.5928143713
ky,0.4721485411,0.5,0.6666666667,0.3063583815,0.4263157895,0.4849137931,0.4939759036,0.6617647059,0.5586206897,0.475177305,0.558974359,0.4608540925,0.56875,0.5539033457,0.4935732648,0.4741035857,0.4388489209
may,0.4495412844,0.3333333333,0.5,0.5350318471,0.4345238095,0.467032967,0.5,0.484375,0.4130434783,0.4705882353,0.3361344538,0.4448818898,0.368,0.5098039216,0.6016949153,0.3583333333,0.5882352941
axl,0.5851851852,0.6936416185,0.4649681529,0.5,0.4736842105,0.5163398693,0.5757575758,0.5441176471,0.6827586207,0.5069444444,0.8115942029,0.4946808511,0.4537037037,0.4836065574,0.4426229508,0.6530612245,0.8
chipp,0.6146788991,0.5736842105,0.5654761905,0.5263157895,0.5,0.5597826087,0.4375,0.5818181818,0.5772357724,0.5921052632,0.5176470588,0.4639175258,0.5458515284,0.6084337349,0.5090909091,0.5801526718,0.4615384615
potemkin,0.5366336634,0.5150862069,0.532967033,0.4836601307,0.4402173913,0.5,0.4794520548,0.5190839695,0.5691056911,0.4968152866,0.4545454545,0.4179566563,0.5792349727,0.5163398693,0.5102040816,0.35546875,0.5252525253
faust,0.5,0.5060240964,0.5,0.4242424242,0.5625,0.5205479452,0.5,0.4838709677,0.4754098361,0.4365079365,0.3125,0.4736842105,0.4807692308,0.5476190476,0.4803149606,0.4943820225,0.6274509804
millia,0.4403292181,0.3382352941,0.515625,0.4558823529,0.4181818182,0.4809160305,0.5161290323,0.5,0.5395683453,0.5518867925,0.3611111111,0.4465408805,0.4,0.5277777778,0.4253731343,0.4340659341,0.5764705882
zato,0.6293706294,0.4413793103,0.5869565217,0.3172413793,0.4227642276,0.4308943089,0.5245901639,0.4604316547,0.5,0.5405405405,0.6290322581,0.4555555556,0.4193548387,0.5259259259,0.5294117647,0.4457831325,0.4857142857
ramlethal,0.4765625,0.524822695,0.5294117647,0.4930555556,0.4078947368,0.5031847134,0.5634920635,0.4481132075,0.4594594595,0.5,0.5674157303,0.4589041096,0.4615384615,0.584,0.390070922,0.5,0.5528455285
leo,0.5,0.441025641,0.6638655462,0.1884057971,0.4823529412,0.5454545455,0.6875,0.6388888889,0.3709677419,0.4325842697,0.5,0.5058823529,0.4391891892,0.4727272727,0.5462184874,0.3676470588,0.4864864865
nagoriyuki,0.5878220141,0.5391459075,0.5551181102,0.5053191489,0.5360824742,0.5820433437,0.5263157895,0.5534591195,0.5444444444,0.5410958904,0.4941176471,0.5,0.4563758389,0.602905569,0.5690140845,0.6462882096,0.610738255
giovanna,0.5071770335,0.43125,0.632,0.5462962963,0.4541484716,0.4207650273,0.5192307692,0.6,0.5806451613,0.5384615385,0.5608108108,0.5436241611,0.5,0.5592105263,0.4240506329,0.4,0.44
anji,0.5095729013,0.4460966543,0.4901960784,0.5163934426,0.3915662651,0.4836601307,0.4523809524,0.4722222222,0.4740740741,0.416,0.5272727273,0.397094431,0.4407894737,0.5,0.5523255814,0.4609929078,0.4684684685
i-no,0.5299145299,0.5064267352,0.3983050847,0.5573770492,0.4909090909,0.4897959184,0.5196850394,0.5746268657,0.4705882353,0.609929078,0.4537815126,0.4309859155,0.5759493671,0.4476744186,0.5,0.5476190476,0.6082474227
goldlewis,0.56,0.5258964143,0.6416666667,0.3469387755,0.4198473282,0.64453125,0.5056179775,0.5659340659,0.5542168675,0.5,0.6323529412,0.3537117904,0.6,0.5390070922,0.4523809524,0.5,0.6097560976
jack-o,0.4071856287,0.5611510791,0.4117647059,0.2,0.5384615385,0.4747474747,0.3725490196,0.4235294118,0.5142857143,0.4471544715,0.5135135135,0.389261745,0.56,0.5315315315,0.3917525773,0.3902439024,0.5
